index,close_time,transaction_id,positions,LTCUSDT_units,LUNCUSDT_units,entry_LTCUSDT_price,entry_LUNCUSDT_price,historical_LTCUSDT_mid,historical_LUNCUSDT_mid,historical_LTCUSDT_vol,historical_LUNCUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,LUNCUSDT_raw_pnl,LTCUSDT_cost,LUNCUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2048.0,2023-01-22 00:41:59.999,1.0,,0.0,0.0,,,88.285,0.00018217,190.437,25190194.76,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2049.0,2023-01-22 00:42:59.999,1.0,,0.0,0.0,,,88.32499999999999,0.000182185,314.133,20029375.12,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2050.0,2023-01-22 00:43:59.999,1.0,,0.0,0.0,,,88.28,0.00018162,283.977,1202109408.99,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2051.0,2023-01-22 00:44:59.999,1.0,,0.0,0.0,,,88.145,0.00018135,906.023,83004587.55,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2052.0,2023-01-22 00:45:59.999,1.0,,0.0,0.0,,,88.18,0.000181265,156.437,23461814.8,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2053.0,2023-01-22 00:46:59.999,1.0,,0.0,0.0,,,88.135,0.00018114,115.845,42911345.41,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2054.0,2023-01-22 00:47:59.999,1.0,,0.0,0.0,,,88.17,0.00018122,71.216,43658100.5,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2055.0,2023-01-22 00:48:59.999,1.0,,0.0,0.0,,,88.16,0.000181235,142.316,12980280.43,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2056.0,2023-01-22 00:49:59.999,1.0,,0.0,0.0,,,88.18,0.0001814149999999,194.951,36448113.32,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2057.0,2023-01-22 00:50:59.999,1.0,,0.0,0.0,,,88.22,0.000181385,129.031,94294672.81,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2058.0,2023-01-22 00:51:59.999,1.0,,0.0,0.0,,,88.235,0.000181335,78.782,23773716.06,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2059.0,2023-01-22 00:52:59.999,1.0,,0.0,0.0,,,88.215,0.00018131,152.939,29888910.88,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2060.0,2023-01-22 00:53:59.999,1.0,,0.0,0.0,,,88.22999999999999,0.00018128,98.384,15303149.8,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2061.0,2023-01-22 00:54:59.999,1.0,,0.0,0.0,,,88.235,0.000181285,448.097,16960040.67,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2062.0,2023-01-22 00:55:59.999,1.0,,0.0,0.0,,,88.265,0.000181355,61.773,45124078.72,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2063.0,2023-01-22 00:56:59.999,1.0,,0.0,0.0,,,88.24000000000001,0.00018132,122.283,8579882.35,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
2064.0,2023-01-22 00:57:59.999,1.0,,0.0,0.0,,,88.215,0.000181185,230.177,11282950.06,0.0,10019.779920328467,0.0,0.0,0.0,0.0,0,0,0,0.0,0.001977992032846654
