index,close_time,transaction_id,positions,NEARUSDT_units,DOTUSDT_units,entry_NEARUSDT_price,entry_DOTUSDT_price,historical_NEARUSDT_mid,historical_DOTUSDT_mid,historical_NEARUSDT_vol,historical_DOTUSDT_vol,signal,portfolio_value,NEARUSDT_raw_pnl,DOTUSDT_raw_pnl,NEARUSDT_cost,DOTUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1005.0,2023-01-21 06:56:59.999,,,0.0,0.0,,,2.387,6.246499999999999,12760.1,3867.24,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1006.0,2023-01-21 06:57:59.999,,,0.0,0.0,,,2.3875,6.245,18493.1,400.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1007.0,2023-01-21 06:58:59.999,,,0.0,0.0,,,2.391,6.247,13549.7,1327.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1008.0,2023-01-21 06:59:59.999,,,0.0,0.0,,,2.3905,6.2455,13711.1,3763.45,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1009.0,2023-01-21 07:00:59.999,,,0.0,0.0,,,2.3905000000000003,6.2455,22421.9,943.58,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1010.0,2023-01-21 07:01:59.999,,,0.0,0.0,,,2.387,6.2475000000000005,14304.5,1744.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1011.0,2023-01-21 07:02:59.999,,,0.0,0.0,,,2.3855,6.2485,5873.0,1684.79,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1012.0,2023-01-21 07:03:59.999,,,0.0,0.0,,,2.3875,6.2490000000000006,4174.1,993.04,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1013.0,2023-01-21 07:04:59.999,,,0.0,0.0,,,2.388,6.2515,20020.7,6475.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1014.0,2023-01-21 07:05:59.999,,,0.0,0.0,,,2.3825,6.247,16579.3,3892.59,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1015.0,2023-01-21 07:06:59.999,,,0.0,0.0,,,2.3795,6.241,9946.2,4078.4,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1016.0,2023-01-21 07:07:59.999,,,0.0,0.0,,,2.3795,6.2405,6068.9,241.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1017.0,2023-01-21 07:08:59.999,,,0.0,0.0,,,2.3775,6.2395,5001.6,220.53,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1018.0,2023-01-21 07:09:59.999,,,0.0,0.0,,,2.3815,6.2425,1554.4,1609.93,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1019.0,2023-01-21 07:10:59.999,,,0.0,0.0,,,2.3845,6.243,13472.1,1472.63,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1020.0,2023-01-21 07:11:59.999,,,0.0,0.0,,,2.387,6.2425,11313.7,700.57,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1021.0,2023-01-21 07:12:59.999,,,0.0,0.0,,,2.387,6.2435,8920.5,445.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1022.0,2023-01-21 07:13:59.999,,,0.0,0.0,,,2.3865,6.242,7544.7,1335.21,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1023.0,2023-01-21 07:14:59.999,,,0.0,0.0,,,2.391,6.2475000000000005,14322.9,5273.75,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
