index,close_time,transaction_id,positions,LTCUSDT_units,ATOMUSDT_units,entry_LTCUSDT_price,entry_ATOMUSDT_price,historical_LTCUSDT_mid,historical_ATOMUSDT_mid,historical_LTCUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LTCUSDT_raw_pnl,ATOMUSDT_raw_pnl,LTCUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1149.0,2023-01-21 09:42:59.999,,,0.0,0.0,,,90.075,13.353,4832.492,12684.38,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1150.0,2023-01-21 09:43:59.999,,,0.0,0.0,,,89.75,13.321,6032.939,2851.13,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1151.0,2023-01-21 09:44:59.999,,,0.0,0.0,,,89.63,13.337,5025.32,5547.67,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1152.0,2023-01-21 09:45:59.999,,,0.0,0.0,,,89.685,13.3395,519.116,2144.42,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1153.0,2023-01-21 09:46:59.999,,,0.0,0.0,,,89.66,13.3115,454.268,5502.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1154.0,2023-01-21 09:47:59.999,,,0.0,0.0,,,89.745,13.3105,237.872,1041.46,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1155.0,2023-01-21 09:48:59.999,,,0.0,0.0,,,89.845,13.329999999999998,321.424,633.31,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1156.0,2023-01-21 09:49:59.999,,,0.0,0.0,,,89.9,13.3455,390.505,1830.51,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1157.0,2023-01-21 09:50:59.999,,,0.0,0.0,,,89.86500000000001,13.344,5247.891,2073.19,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1158.0,2023-01-21 09:51:59.999,,,0.0,0.0,,,89.85499999999999,13.34,668.489,1543.9,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1159.0,2023-01-21 09:52:59.999,,,0.0,0.0,,,89.99000000000001,13.353,955.044,923.11,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1160.0,2023-01-21 09:53:59.999,,,0.0,0.0,,,90.025,13.358,2714.817,1468.15,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1161.0,2023-01-21 09:54:59.999,,,0.0,0.0,,,90.075,13.354,6394.216,1682.47,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1162.0,2023-01-21 09:55:59.999,,,0.0,0.0,,,90.11,13.3595,518.792,7710.18,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1163.0,2023-01-21 09:56:59.999,,,0.0,0.0,,,90.19,13.3625,928.115,5692.39,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1164.0,2023-01-21 09:57:59.999,,,0.0,0.0,,,90.22,13.364,854.535,1077.25,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1165.0,2023-01-21 09:58:59.999,,,0.0,0.0,,,90.255,13.383,3385.208,6304.82,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1166.0,2023-01-21 09:59:59.999,,,0.0,0.0,,,90.205,13.3555,555.963,2626.71,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1167.0,2023-01-21 10:00:59.999,,,0.0,0.0,,,90.19,13.3755,350.506,1504.68,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1168.0,2023-01-21 10:01:59.999,,,0.0,0.0,,,90.335,13.407,2912.33,8714.62,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1169.0,2023-01-21 10:02:59.999,,,0.0,0.0,,,90.64,13.4145,2079.412,4953.01,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1170.0,2023-01-21 10:03:59.999,,,0.0,0.0,,,90.62,13.4095,2027.493,4004.37,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1171.0,2023-01-21 10:04:59.999,,,0.0,0.0,,,90.595,13.409,1650.523,3021.77,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1172.0,2023-01-21 10:05:59.999,,,0.0,0.0,,,90.74,13.415,1315.008,2274.08,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1173.0,2023-01-21 10:06:59.999,,,0.0,0.0,,,90.695,13.418500000000002,934.956,1817.3,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1174.0,2023-01-21 10:07:59.999,,,0.0,0.0,,,90.715,13.424,795.086,235.97,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1175.0,2023-01-21 10:08:59.999,,,0.0,0.0,,,90.6,13.412,1728.873,951.91,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
1176.0,2023-01-21 10:09:59.999,,,0.0,0.0,,,90.58,13.413,687.458,1281.98,0.0,10000,0,0,0,0,0,0,0,0.0,0.0
