index,close_time,transaction_id,positions,XRPUSDT_units,TRXUSDT_units,entry_XRPUSDT_price,entry_TRXUSDT_price,historical_XRPUSDT_mid,historical_TRXUSDT_mid,historical_XRPUSDT_vol,historical_TRXUSDT_vol,signal,portfolio_value,XRPUSDT_raw_pnl,TRXUSDT_raw_pnl,XRPUSDT_cost,TRXUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
2094.0,2023-01-22 03:52:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40425,0.061075,55418.0,92069.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2095.0,2023-01-22 03:53:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.0610799999999999,92862.0,121241.7,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2096.0,2023-01-22 03:54:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.061095,19660.0,44974.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2097.0,2023-01-22 03:55:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40445,0.061105,171008.0,127755.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2098.0,2023-01-22 03:56:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.0610799999999999,1708.0,293371.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2099.0,2023-01-22 03:57:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40445,0.06106,35463.0,155692.6,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2100.0,2023-01-22 03:58:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40465,0.061075,46817.0,37319.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2101.0,2023-01-22 03:59:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40465,0.061095,7555.0,124243.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2102.0,2023-01-22 04:00:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4044999999999999,0.06109,112352.0,58779.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2103.0,2023-01-22 04:01:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4042,0.06107,53718.0,65043.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2104.0,2023-01-22 04:02:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40415,0.061065,59315.0,23903.4,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2105.0,2023-01-22 04:03:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40425,0.06107,1896.0,55393.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2106.0,2023-01-22 04:04:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40435,0.06111,31652.0,480662.3,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2107.0,2023-01-22 04:05:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.4044999999999999,0.0611349999999999,20596.0,32523.0,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2108.0,2023-01-22 04:06:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40455,0.0611349999999999,58634.0,29251.1,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
2109.0,2023-01-22 04:07:59.999,1.0,short,-1210.8003390240951,6569.786855466671,0.41295,0.062215,0.40455,0.061145,8190.0,181845.5,0.0,10000.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0
