index,close_time,transaction_id,positions,LINKUSDT_units,ATOMUSDT_units,entry_LINKUSDT_price,entry_ATOMUSDT_price,historical_LINKUSDT_mid,historical_ATOMUSDT_mid,historical_LINKUSDT_vol,historical_ATOMUSDT_vol,signal,portfolio_value,LINKUSDT_raw_pnl,ATOMUSDT_raw_pnl,LINKUSDT_cost,ATOMUSDT_cost,trade_duration,is_profitable_trade,is_new_transaction,interval_arithmetic_return,cumulative_return
1906.0,2023-01-22 00:24:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.885,13.1745,2612.15,230.32,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1907.0,2023-01-22 00:25:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8875,13.156,6709.19,1304.61,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1908.0,2023-01-22 00:26:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8965,13.149,14595.81,447.28,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1909.0,2023-01-22 00:27:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8995,13.1605,1370.55,676.69,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1910.0,2023-01-22 00:28:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.9045000000000005,13.1725,2326.57,660.94,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1911.0,2023-01-22 00:29:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8995,13.166,2578.11,545.57,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1912.0,2023-01-22 00:30:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.900499999999999,13.164,1703.71,364.82,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1913.0,2023-01-22 00:31:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.894,13.136,11472.48,2601.29,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1914.0,2023-01-22 00:32:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.885,13.11,9822.03,1331.96,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
1915.0,2023-01-22 00:33:59.999,5.0,long,72.49528780629258,-26.42906799719084,6.897,13.2115,6.8825,13.1045,1335.14,1782.83,0.0,10020.431569096945,0.0,0.0,0.0,0.0,0,0,0,0.0,0.002043156909694588
